Date,MSCI World EUR,MSCI Europe EUR,MSCI USA EUR
3/1/2000,144.7510,132.9091,138.8971
4/1/2000,144.7510,127.7241,131.3964
5/1/2000,144.7510,124.5465,131.2927
6/1/2000,144.7510,123.9529,130.0197
7/1/2000,144.7510,126.7611,135.2971
10/1/2000,144.7510,128.5809,137.2978
11/1/2000,144.7510,127.7532,134.9741
12/1/2000,144.7510,127.6338,134.5215
13/1/2000,144.7510,128.4314,136.3218
14/1/2000,144.7510,131.5659,139.6194
17/1/2000,144.7510,132.5407,140.1801
18/1/2000,144.7510,129.5036,138.7348
19/1/2000,144.7510,129.1396,139.0781
20/1/2000,144.7510,128.9649,137.9605
21/1/2000,144.7510,128.4381,137.9989
24/1/2000,144.7510,128.7948,134.9129
25/1/2000,144.7510,126.4844,135.1617
26/1/2000,144.7510,127.9527,135.2130
27/1/2000,144.7510,129.7837,136.4223
28/1/2000,144.7510,129.5637,133.8734
31/1/2000,139.6760,127.0715,137.1546
1/2/2000,139.6760,129.1882,139.7675
2/2/2000,139.6760,130.9610,139.6474
3/2/2000,139.6760,132.7501,139.4920
4/2/2000,139.6760,132.8780,139.9445
7/2/2000,139.6760,131.6634,140.2597
8/2/2000,139.6760,134.6692,140.4983
9/2/2000,139.6760,134.7895,136.9223
10/2/2000,139.6760,134.3913,137.8546
11/2/2000,139.6760,134.1021,135.1455
14/2/2000,139.6760,133.0326,136.2160
15/2/2000,139.6760,130.5969,136.6731
16/2/2000,139.6760,132.2305,134.8857
17/2/2000,139.6760,133.4157,134.4652
18/2/2000,139.6760,132.7704,130.6546
21/2/2000,139.6760,131.3077,130.3965
22/2/2000,139.6760,130.8538,128.2652
23/2/2000,139.6760,132.7886,129.6631
24/2/2000,139.6760,132.9794,130.1149
25/2/2000,139.6760,135.5968,130.3877
28/2/2000,139.6760,134.1200,133.4704
29/2/2000,142.1870,135.7137,135.9291
1/3/2000,142.1870,137.4015,136.1933
2/3/2000,142.1870,140.3246,137.1364
3/3/2000,142.1870,141.8031,140.4456
6/3/2000,142.1870,143.0181,138.4205
7/3/2000,142.1870,141.8487,135.3146
8/3/2000,142.1870,140.1872,136.5225
9/3/2000,142.1870,140.4909,138.0625
10/3/2000,142.1870,141.6772,137.8993
13/3/2000,142.1870,138.3315,136.6971
14/3/2000,142.1870,138.6008,135.0203
15/3/2000,142.1870,135.3198,137.3438
16/3/2000,142.1870,137.3576,143.2270
17/3/2000,142.1870,138.4684,144.4260
20/3/2000,142.1870,139.9644,143.7882
21/3/2000,142.1870,139.9304,147.2435
22/3/2000,142.1870,140.3696,149.5680
23/3/2000,142.1870,139.5773,151.0233
24/3/2000,142.1870,142.5208,150.7989
27/3/2000,142.1870,142.2691,150.6565
28/3/2000,142.1870,142.6793,149.6752
29/3/2000,142.1870,142.3688,151.9352
30/3/2000,142.1870,138.8903,149.5189
31/3/2000,152.8050,139.6846,150.2761
3/4/2000,152.8050,137.2915,151.2583
4/4/2000,152.8050,137.9917,150.6714
5/4/2000,152.8050,134.9349,148.1492
6/4/2000,152.8050,137.9314,150.3409
7/4/2000,152.8050,139.6345,151.7520
10/4/2000,152.8050,139.4519,150.6135
11/4/2000,152.8050,136.7104,149.7253
12/4/2000,152.8050,136.6582,147.3257
13/4/2000,152.8050,136.8401,145.0042
14/4/2000,152.8050,133.1385,136.2548
17/4/2000,152.8050,131.3160,141.0570
18/4/2000,152.8050,132.9742,145.8520
19/4/2000,152.8050,134.8312,145.4889
20/4/2000,152.8050,135.7068,146.4709
21/4/2000,152.8050,135.7068,146.4709
24/4/2000,152.8050,135.7022,145.8970
25/4/2000,152.8050,137.0783,152.3663
26/4/2000,152.8050,138.4434,151.4506
27/4/2000,152.8050,137.3540,153.8083
28/4/2000,153.5320,140.0472,152.5581
1/5/2000,153.5320,140.0250,154.4717
2/5/2000,153.5320,142.6135,152.3391
3/5/2000,153.5320,140.6357,151.8438
4/5/2000,153.5320,140.2765,151.0490
5/5/2000,153.5320,140.6493,153.2289
8/5/2000,153.5320,139.6826,152.2349
9/5/2000,153.5320,137.3322,149.6280
10/5/2000,153.5320,134.5555,145.2458
11/5/2000,153.5320,136.9527,149.1239
12/5/2000,153.5320,138.7082,149.9300
15/5/2000,153.5320,137.1985,151.5919
16/5/2000,153.5320,140.1481,154.7373
17/5/2000,153.5320,138.2687,154.9863
18/5/2000,153.5320,138.4429,153.2327
19/5/2000,153.5320,134.2469,150.5719
22/5/2000,153.5320,131.8631,147.9382
23/5/2000,153.5320,132.5856,144.4676
24/5/2000,153.5320,131.3644,147.1543
25/5/2000,153.5320,134.1691,145.2866
26/5/2000,153.5320,132.6437,141.9017
29/5/2000,153.5320,133.8181,141.6264
30/5/2000,153.5320,135.6893,145.2405
31/5/2000,153.5320,136.3262,145.7977
1/6/2000,153.5320,137.9964,147.9508
2/6/2000,153.5320,141.3834,148.5972
5/6/2000,153.5320,140.1115,147.7320
6/6/2000,153.5320,139.1026,144.5857
7/6/2000,153.5320,138.2030,146.3064
8/6/2000,153.5320,138.3844,145.8516
9/6/2000,153.5320,138.1904,145.4776
12/6/2000,153.5320,138.1963,143.9078
13/6/2000,153.5320,137.7781,145.0136
14/6/2000,153.5320,139.2909,145.3422
15/6/2000,153.5320,138.5061,147.2209
16/6/2000,153.5320,137.8349,144.3826
19/6/2000,153.5320,137.3918,146.5607
20/6/2000,153.5320,138.7481,146.4878
21/6/2000,153.5320,137.5656,148.3238
22/6/2000,153.5320,137.1016,146.8853
23/6/2000,153.5320,136.9192,146.3223
26/6/2000,153.5320,136.9130,147.2567
27/6/2000,153.5320,135.9677,145.9381
28/6/2000,153.5320,136.3533,146.0765
29/6/2000,153.5320,133.1183,144.1090
30/6/2000,146.7670,134.5691,144.3097
3/7/2000,146.7670,136.7476,146.6447
4/7/2000,146.7670,136.7149,146.9072
5/7/2000,146.7670,135.7124,143.7430
6/7/2000,146.7670,136.1370,144.7608
7/7/2000,146.7670,138.4794,147.8151
10/7/2000,146.7670,138.0183,146.9030
11/7/2000,146.7670,137.8981,147.5507
12/7/2000,146.7670,138.9819,149.6657
13/7/2000,146.7670,139.7388,151.3057
14/7/2000,146.7670,140.0946,152.2021
17/7/2000,146.7670,140.8966,152.6783
18/7/2000,146.7670,139.6399,151.5072
19/7/2000,146.7670,139.7284,151.9563
20/7/2000,146.7670,140.7080,153.3645
21/7/2000,146.7670,138.4614,150.2351
24/7/2000,146.7670,138.6896,148.5941
25/7/2000,146.7670,138.1407,147.9570
26/7/2000,146.7670,138.0630,145.5358
27/7/2000,146.7670,135.9691,146.4176
28/7/2000,146.7670,135.5906,145.5745
31/7/2000,147.4110,136.8292,146.4759
1/8/2000,147.4110,136.7518,147.5506
2/8/2000,147.4110,137.1433,149.5284
3/8/2000,147.4110,135.5964,152.3171
4/8/2000,147.4110,136.8032,152.5904
7/8/2000,147.4110,137.9882,153.9509
8/8/2000,147.4110,138.3116,155.8620
9/8/2000,147.4110,139.5523,155.0830
10/8/2000,147.4110,139.0324,151.9168
11/8/2000,147.4110,139.2123,153.6661
14/8/2000,147.4110,140.3620,155.7517
15/8/2000,147.4110,140.0524,153.4068
16/8/2000,147.4110,140.7117,153.2147
17/8/2000,147.4110,139.9019,153.9921
18/8/2000,147.4110,140.0087,154.3879
21/8/2000,147.4110,140.1408,156.1485
22/8/2000,147.4110,140.4216,156.9243
23/8/2000,147.4110,140.3142,158.5369
24/8/2000,147.4110,139.5590,157.1951
25/8/2000,147.4110,139.9855,156.7538
28/8/2000,147.4110,140.6040,158.6224
29/8/2000,147.4110,140.1093,158.7971
30/8/2000,147.4110,139.9660,158.4399
31/8/2000,158.4870,140.7679,160.4529
1/9/2000,158.4870,142.9337,158.6963
4/9/2000,158.4870,144.2067,158.7404
5/9/2000,158.4870,143.3605,159.7894
6/9/2000,158.4870,142.7670,159.5431
7/9/2000,158.4870,143.0173,161.6696
8/9/2000,158.4870,140.9673,161.8228
11/9/2000,158.4870,140.9002,162.1263
12/9/2000,158.4870,140.2828,161.5677
13/9/2000,158.4870,138.6791,160.9945
14/9/2000,158.4870,140.0354,161.0928
15/9/2000,158.4870,138.7652,159.1306
18/9/2000,158.4870,137.8647,158.4654
19/9/2000,158.4870,137.9403,160.2943
20/9/2000,158.4870,136.4902,160.5868
21/9/2000,158.4870,134.4019,159.5891
22/9/2000,158.4870,134.4381,154.4027
25/9/2000,158.4870,135.9476,154.7875
26/9/2000,158.4870,134.5710,152.2334
27/9/2000,158.4870,135.1680,151.9511
28/9/2000,158.4870,134.8310,154.8391
29/9/2000,151.0370,135.0187,152.7182
2/10/2000,151.0370,135.9309,152.4695
3/10/2000,151.0370,136.8168,152.1260
4/10/2000,151.0370,136.1089,153.8051
5/10/2000,151.0370,137.0507,154.4479
6/10/2000,151.0370,135.8824,151.7991
9/10/2000,151.0370,133.1577,151.0380
10/10/2000,151.0370,133.3462,149.6184
11/10/2000,151.0370,130.4651,145.7350
12/10/2000,151.0370,131.2947,143.8169
13/10/2000,151.0370,132.5223,148.9085
16/10/2000,151.0370,133.3437,150.6590
17/10/2000,151.0370,131.9258,147.8280
18/10/2000,151.0370,130.8738,147.4974
19/10/2000,151.0370,134.0762,153.8772
20/10/2000,151.0370,134.8805,154.9440
23/10/2000,151.0370,135.8960,155.3688
24/10/2000,151.0370,138.6701,155.5183
25/10/2000,151.0370,137.5893,154.1255
26/10/2000,151.0370,136.6083,154.2593
27/10/2000,151.0370,137.6409,153.3609
30/10/2000,151.0370,138.0743,154.7186
31/10/2000,154.4630,139.3411,157.7159
1/11/2000,154.4630,139.1634,155.2393
2/11/2000,154.4630,138.8829,155.8271
3/11/2000,154.4630,138.8578,154.8855
6/11/2000,154.4630,138.7799,155.9467
7/11/2000,154.4630,138.6874,156.0994
8/11/2000,154.4630,138.4495,154.4780
9/11/2000,154.4630,137.2571,152.9871
10/11/2000,154.4630,135.6048,148.3618
13/11/2000,154.4630,133.6976,147.2371
14/11/2000,154.4630,136.9930,151.0972
15/11/2000,154.4630,137.5269,151.6052
16/11/2000,154.4630,136.9281,150.7648
17/11/2000,154.4630,136.3967,150.5645
20/11/2000,154.4630,134.3939,148.1811
21/11/2000,154.4630,135.1505,149.0498
22/11/2000,154.4630,132.1937,146.5473
23/11/2000,154.4630,133.0875,146.7474
24/11/2000,154.4630,135.0003,149.4858
27/11/2000,154.4630,135.6306,148.6582
28/11/2000,154.4630,133.6524,146.1316
29/11/2000,154.4630,133.0628,146.0881
30/11/2000,141.1230,130.2619,141.2930
1/12/2000,141.6010,131.8167,140.7373
4/12/2000,139.6420,129.8253,139.0878
5/12/2000,144.0350,133.3190,145.2314
6/12/2000,142.7320,132.6708,142.6123
7/12/2000,141.2380,132.0338,140.9034
8/12/2000,143.2000,132.6946,144.1127
11/12/2000,146.4520,135.3613,147.1382
12/12/2000,145.9130,134.9411,146.5544
13/12/2000,145.2040,134.2979,145.7778
14/12/2000,141.8910,132.0721,141.7433
15/12/2000,137.8430,129.5682,136.8080
18/12/2000,138.7140,130.2107,138.0901
19/12/2000,138.3780,131.6984,136.8928
20/12/2000,132.6700,127.7218,129.8470
21/12/2000,131.7450,126.4282,129.9023
22/12/2000,132.4660,126.5057,131.6093
25/12/2000,132.9010,126.5057,131.6093
26/12/2000,132.6820,126.3914,131.7031
27/12/2000,133.7820,128.2245,132.7162
28/12/2000,134.8020,129.2199,133.9214
29/12/2000,132.8280,128.9487,130.6687
